language,mode,is_rel,is_per,r,K,method,truncation,seconds,reps,value,rel_dev
matlab,relative periodic,1,1,2,12,bulger,inf,0.00117242123,137,0.952245467240147,NaN
matlab,relative periodic,1,1,2,12,mobius,inf,0.000757644651,229,0.952245467240147,1.110e-16
matlab,relative periodic,1,1,2,20,bulger,inf,0.00265225141,59,0.975363748452767,NaN
matlab,relative periodic,1,1,2,20,mobius,inf,0.000693733915,272,0.975363748452767,1.110e-16
matlab,relative periodic,1,1,2,34,bulger,inf,0.0128835799,12,0.999180608876769,NaN
matlab,relative periodic,1,1,2,34,mobius,inf,0.000647449369,251,0.999180608876769,3.331e-16
matlab,relative periodic,1,1,3,6,bulger,inf,0.000498904149,476,0.257967213242764,NaN
matlab,relative periodic,1,1,3,6,mobius,inf,0.00135735223,194,0.257967213242764,2.220e-16
matlab,relative periodic,1,1,3,12,bulger,inf,0.0101028828,16,0.797079612225138,NaN
matlab,relative periodic,1,1,3,12,mobius,inf,0.001468766,138,0.797079612225137,6.661e-16
matlab,relative periodic,1,1,3,20,mobius,inf,0.00165872589,140,0.972135172806678,NaN
matlab,relative periodic,1,1,3,34,mobius,inf,0.00163305394,180,0.996051329118069,NaN
matlab,relative periodic,1,1,4,6,bulger,inf,0.00146543194,180,0.218914493789418,NaN
matlab,relative periodic,1,1,4,6,mobius,inf,0.0367793854,4,0.218914493789371,4.619e-14
matlab,relative periodic,1,1,4,12,mobius,inf,0.0604602917,3,0.608019353835426,NaN
matlab,relative periodic,1,1,4,20,mobius,inf,0.0786298542,2,0.810921274476584,NaN
matlab,relative periodic,1,1,4,34,mobius,inf,0.123720292,2,0.989668256587974,NaN
