language,mode,is_rel,is_per,r,K,method,rel_route,truncation,seconds,reps,value,rel_dev
matlab,relative non-periodic,1,0,4,20,mobius,auto,inf,0.134010875,1,0.537788605136379,NaN
matlab,relative non-periodic,1,0,4,34,mobius,auto,inf,0.341979708,1,0.752880657768666,NaN
matlab,relative periodic,1,1,2,6,bulger,auto,inf,0.000260292337,932,0.821725401469173,NaN
matlab,relative periodic,1,1,2,6,mobius,auto,inf,0.000275181718,1016,0.821725401469173,2.220e-16
matlab,relative periodic,1,1,2,12,bulger,auto,inf,0.00117163945,222,0.952245467240147,NaN
matlab,relative periodic,1,1,2,12,mobius,auto,inf,0.000764421843,330,0.952245467240147,1.110e-16
matlab,relative periodic,1,1,2,20,bulger,auto,inf,0.0026491088,72,0.975363748452767,NaN
matlab,relative periodic,1,1,2,20,mobius,auto,inf,0.000691383096,211,0.975363748452767,1.110e-16
matlab,relative periodic,1,1,2,34,bulger,auto,inf,0.0130280104,12,0.999180608876769,NaN
matlab,relative periodic,1,1,2,34,mobius,auto,inf,0.000640872848,426,0.999180608876769,3.331e-16
matlab,relative periodic,1,1,3,6,bulger,auto,inf,0.000494523103,514,0.257967213242764,NaN
matlab,relative periodic,1,1,3,6,mobius,auto,inf,0.00136837975,158,0.257967213242764,2.220e-16
matlab,relative periodic,1,1,3,12,bulger,auto,inf,0.0101113361,15,0.797079612225138,NaN
matlab,relative periodic,1,1,3,12,mobius,auto,inf,0.00152427806,98,0.797079612225137,6.661e-16
matlab,relative periodic,1,1,3,20,mobius,auto,inf,0.00165796136,110,0.972135172806678,NaN
matlab,relative periodic,1,1,3,34,mobius,auto,inf,0.00164514101,164,0.996051329118069,NaN
matlab,relative periodic,1,1,4,6,bulger,auto,inf,0.0014709252,166,0.218914493789418,NaN
matlab,relative periodic,1,1,4,6,mobius,auto,inf,0.033585325,5,0.218914493789371,4.619e-14
matlab,relative periodic,1,1,4,12,mobius,auto,inf,0.0587200278,3,0.608019353835426,NaN
matlab,relative periodic,1,1,4,20,mobius,auto,inf,0.0751680417,3,0.810921274476584,NaN
matlab,relative periodic,1,1,4,34,mobius,auto,inf,0.118166354,2,0.989668256587974,NaN
