CSV_BEGIN
r,K,N,sigmaOverP,isPer,gridSize,msSpectral,msGrid,ratio
2,30,8,0.2000,0,67,0.7991,52.6129,65.8416
2,30,16,0.0020,0,1983,35.9162,6032.1570,167.9508
2,30,16,0.0050,0,821,16.5764,2544.5011,153.5017
2,30,16,0.0125,0,357,9.7902,1138.9067,116.3312
2,30,16,0.0500,0,125,3.4697,405.3025,116.8131
2,30,16,0.2000,0,67,1.5499,219.4392,141.5851
3,4,1,0.0020,0,3932289,3.1298,2.7765,0.8871
3,4,1,0.0050,0,674041,0.8788,0.9037,1.0284
3,4,1,0.0125,0,127449,1.2318,0.9453,0.7674
3,4,1,0.0500,0,15625,0.4028,0.4198,1.0422
3,4,1,0.2000,0,4489,0.1386,0.4035,2.9107
3,4,2,0.0020,0,3932289,19.7991,18.2590,0.9222
3,4,2,0.0050,0,674041,8.8014,7.4305,0.8442
3,4,2,0.0125,0,127449,4.5502,3.5915,0.7893
3,4,2,0.0500,0,15625,1.1952,1.0503,0.8787
3,4,2,0.2000,0,4489,0.4558,1.2320,2.7033
3,4,4,0.0020,0,3932289,56.9076,56.7445,0.9971
3,4,4,0.0050,0,674041,25.7925,25.4639,0.9873
3,4,4,0.0125,0,127449,5.5321,11.8504,2.1421
3,4,4,0.0500,0,15625,1.1956,4.6982,3.9296
3,4,4,0.2000,0,4489,0.7447,2.7624,3.7094
3,4,8,0.0020,0,3932289,237.5026,245.3056,1.0329
3,4,8,0.0050,0,674041,55.2379,101.6112,1.8395
3,4,8,0.0125,0,127449,12.0782,46.8285,3.8771
3,4,8,0.0500,0,15625,1.8217,18.6001,10.2105
3,4,8,0.2000,0,4489,1.1300,9.4725,8.3824
3,4,16,0.0020,0,3932289,844.8989,869.9860,1.0297
3,4,16,0.0050,0,674041,94.6845,368.6410,3.8934
3,4,16,0.0125,0,127449,17.9790,165.6027,9.2109
3,4,16,0.0500,0,15625,3.5809,60.1830,16.8066
3,4,16,0.2000,0,4489,1.9766,30.6067,15.4846
3,8,1,0.0020,0,3932289,11.9440,10.5889,0.8865
3,8,1,0.0050,0,674041,4.9942,5.2882,1.0589
3,8,1,0.0125,0,127449,2.8600,2.8177,0.9852
3,8,1,0.0500,0,15625,0.7798,0.8447,1.0832
3,8,1,0.2000,0,4489,0.1913,1.1453,5.9861
3,8,2,0.0020,0,3932289,50.8841,50.3242,0.9890
3,8,2,0.0050,0,674041,19.5658,20.5890,1.0523
3,8,2,0.0125,0,127449,4.0125,7.7016,1.9194
3,8,2,0.0500,0,15625,1.2425,4.4930,3.6161
3,8,2,0.2000,0,4489,0.5200,1.7797,3.4222
3,8,4,0.0020,0,3932289,233.9613,257.3846,1.1001
3,8,4,0.0050,0,674041,55.2797,98.3390,1.7789
3,8,4,0.0125,0,127449,7.1288,36.1363,5.0691
3,8,4,0.0500,0,15625,1.7222,12.8107,7.4387
3,8,4,0.2000,0,4489,1.2374,7.1440,5.7735
3,8,8,0.0020,0,3932289,586.4783,880.9733,1.5021
3,8,8,0.0050,0,674041,58.8553,366.4076,6.2256
3,8,8,0.0125,0,127449,12.9627,148.1735,11.4308
3,8,8,0.0500,0,15625,2.0629,53.1895,25.7841
3,8,8,0.2000,0,4489,1.7363,25.1047,14.4591
3,8,16,0.0020,0,3932289,1049.0166,3899.2121,3.7170
3,8,16,0.0050,0,674041,148.0255,1486.3915,10.0415
3,8,16,0.0125,0,127449,24.6592,678.3255,27.5080
3,8,16,0.0500,0,15625,4.8295,254.5678,52.7106
3,8,16,0.2000,0,4489,2.5607,122.7825,47.9487
3,16,1,0.0020,0,3932289,44.5184,41.5688,0.9337
3,16,1,0.0050,0,674041,15.2211,17.8762,1.1744
3,16,1,0.0125,0,127449,2.8884,6.5564,2.2699
3,16,1,0.0500,0,15625,1.0575,2.5535,2.4146
3,16,1,0.2000,0,4489,0.4010,1.5163,3.7816
3,16,2,0.0020,0,3932289,161.3397,146.9717,0.9109
3,16,2,0.0050,0,674041,23.2914,65.8919,2.8290
3,16,2,0.0125,0,127449,6.6501,29.5982,4.4508
3,16,2,0.0500,0,15625,2.0097,10.0915,5.0213
3,16,2,0.2000,0,4489,0.7308,4.7848,6.5473
3,16,4,0.0020,0,3932289,284.9257,600.3337,2.1070
3,16,4,0.0050,0,674041,38.1579,269.1256,7.0529
3,16,4,0.0125,0,127449,9.6676,107.1067,11.0789
3,16,4,0.0500,0,15625,1.3155,38.2082,29.0456
3,16,4,0.2000,0,4489,1.2992,22.2529,17.1275
3,16,8,0.0020,0,3932289,558.3240,2480.1875,4.4422
3,16,8,0.0050,0,674041,64.9777,1033.8809,15.9113
3,16,8,0.0125,0,127449,14.5820,465.2354,31.9048
3,16,8,0.0500,0,15625,3.5853,152.6927,42.5886
3,16,8,0.2000,0,4489,1.2105,73.4103,60.6425
3,16,16,0.0020,0,3932289,1040.4616,10629.9781,10.2166
3,16,16,0.0050,0,674041,151.0702,4477.0895,29.6358
3,16,16,0.0125,0,127449,26.0320,1897.7519,72.9007
3,16,16,0.0500,0,15625,7.9897,644.9716,80.7253
3,16,16,0.2000,0,4489,2.2403,319.4374,142.5848
3,30,1,0.0020,0,3932289,102.8458,105.0080,1.0210
3,30,1,0.0050,0,674041,21.1551,47.0838,2.2256
3,30,1,0.0125,0,127449,4.4148,22.4629,5.0881
3,30,1,0.0500,0,15625,1.8007,6.9940,3.8840
3,30,1,0.2000,0,4489,0.2760,2.6820,9.7158
3,30,2,0.0020,0,3932289,174.2112,402.9806,2.3132
3,30,2,0.0050,0,674041,26.0631,165.4699,6.3488
3,30,2,0.0125,0,127449,5.8130,73.2761,12.6055
3,30,2,0.0500,0,15625,0.9727,27.2302,27.9931
3,30,2,0.2000,0,4489,1.2479,15.3895,12.3321
3,30,4,0.0020,0,3932289,337.0875,1711.0016,5.0758
