CSV_BEGIN
r,K,N,sigmaOverP,isPer,gridSize,msSpectral,msGrid,ratio
2,16,4,0.2000,1,15,0.1461,10.0894,69.0465
2,16,8,0.0020,1,973,5.2399,821.5421,156.7866
2,16,8,0.0050,1,393,2.9958,359.2324,119.9107
2,16,8,0.0125,1,161,1.2556,150.0252,119.4825
2,16,8,0.0500,1,45,0.4393,54.9560,125.0897
2,16,8,0.2000,1,15,0.2309,39.2851,170.1575
2,16,16,0.0020,1,973,9.9122,3290.0768,331.9231
2,16,16,0.0050,1,393,5.7603,1398.6173,242.8032
2,16,16,0.0125,1,161,2.3198,605.4304,260.9848
2,16,16,0.0500,1,45,0.8451,223.2897,264.2091
2,16,16,0.2000,1,15,0.4232,162.5812,384.2011
2,30,1,0.0020,1,973,1.3037,41.4589,31.8018
2,30,1,0.0050,1,393,0.6361,18.1130,28.4758
2,30,1,0.0125,1,161,0.3953,8.2054,20.7601
2,30,1,0.0500,1,45,0.0975,2.4103,24.7214
2,30,1,0.2000,1,15,0.0684,1.9409,28.3857
2,30,2,0.0020,1,973,2.2897,146.4444,63.9577
2,30,2,0.0050,1,393,1.1311,62.9138,55.6205
2,30,2,0.0125,1,161,0.7226,26.6896,36.9364
2,30,2,0.0500,1,45,0.1750,10.7579,61.4592
2,30,2,0.2000,1,15,0.0871,7.9648,91.4626
2,30,4,0.0020,1,973,4.2572,575.6201,135.2107
2,30,4,0.0050,1,393,2.0995,285.2596,135.8675
2,30,4,0.0125,1,161,1.2404,111.6136,89.9807
2,30,4,0.0500,1,45,0.3269,46.1486,141.1813
2,30,4,0.2000,1,15,0.1492,30.5835,205.0288
2,30,8,0.0020,1,973,8.3053,3032.2421,365.0976
2,30,8,0.0050,1,393,4.4928,1045.0086,232.5989
2,30,8,0.0125,1,161,2.2484,444.3196,197.6181
2,30,8,0.0500,1,45,0.6408,180.1375,281.0990
2,30,8,0.2000,1,15,0.2740,129.3630,472.1276
2,30,16,0.0020,1,973,17.2505,10086.9951,584.7350
2,30,16,0.0050,1,393,8.2608,4653.8499,563.3689
2,30,16,0.0125,1,161,4.5067,1904.6334,422.6219
2,30,16,0.0500,1,45,1.2119,742.1922,612.4117
2,30,16,0.2000,1,15,0.5317,523.7141,984.9657
3,4,1,0.0020,1,946729,4.3977,4.1188,0.9366
3,4,1,0.0050,1,154449,1.9627,1.9946,1.0162
3,4,1,0.0125,1,25921,0.8585,0.9754,1.1361
3,4,1,0.0500,1,2025,0.1138,0.4568,4.0158
3,4,1,0.2000,1,225,0.0812,0.4173,5.1412
3,4,2,0.0020,1,946729,16.4250,16.5394,1.0070
3,4,2,0.0050,1,154449,5.1639,5.5141,1.0678
3,4,2,0.0125,1,25921,1.2297,2.5238,2.0523
3,4,2,0.0500,1,2025,0.1637,0.8342,5.0957
3,4,2,0.2000,1,225,0.1135,0.6039,5.3205
3,4,4,0.0020,1,946729,57.4299,58.8567,1.0248
3,4,4,0.0050,1,154449,8.2084,22.7814,2.7754
3,4,4,0.0125,1,25921,1.6745,11.1583,6.6635
3,4,4,0.0500,1,2025,0.2857,3.5304,12.3549
3,4,4,0.2000,1,225,0.1722,1.7170,9.9726
3,4,8,0.0020,1,946729,91.5676,261.5914,2.8568
3,4,8,0.0050,1,154449,14.3640,104.4844,7.2740
3,4,8,0.0125,1,25921,3.4634,47.1637,13.6177
3,4,8,0.0500,1,2025,0.7577,13.8642,18.2975
3,4,8,0.2000,1,225,0.3230,6.5272,20.2105
3,4,16,0.0020,1,946729,182.0770,1052.3752,5.7798
3,4,16,0.0050,1,154449,25.7338,438.3796,17.0352
3,4,16,0.0125,1,25921,5.8474,185.8440,31.7825
3,4,16,0.0500,1,2025,1.1916,52.0677,43.6962
3,4,16,0.2000,1,225,0.6108,28.5582,46.7561
3,8,1,0.0020,1,946729,14.4617,14.4630,1.0001
3,8,1,0.0050,1,154449,3.8629,5.9285,1.5347
3,8,1,0.0125,1,25921,1.2872,3.2645,2.5361
3,8,1,0.0500,1,2025,0.1451,1.1292,7.7809
3,8,1,0.2000,1,225,0.0772,0.5456,7.0703
3,8,2,0.0020,1,946729,58.7277,61.9943,1.0556
3,8,2,0.0050,1,154449,5.5494,23.1708,4.1754
3,8,2,0.0125,1,25921,1.7055,8.6158,5.0517
3,8,2,0.0500,1,2025,0.2258,2.7998,12.4020
3,8,2,0.2000,1,225,0.1185,2.1594,18.2290
3,8,4,0.0020,1,946729,49.7788,233.9718,4.7002
3,8,4,0.0050,1,154449,8.6594,93.1939,10.7621
3,8,4,0.0125,1,25921,2.8385,39.3228,13.8534
3,8,4,0.0500,1,2025,0.4088,10.5353,25.7693
3,8,4,0.2000,1,225,0.1921,7.0956,36.9404
3,8,8,0.0020,1,946729,100.4807,939.8558,9.3536
3,8,8,0.0050,1,154449,15.1431,385.5542,25.4607
3,8,8,0.0125,1,25921,3.8794,160.9892,41.4983
3,8,8,0.0500,1,2025,0.8795,44.3487,50.4249
3,8,8,0.2000,1,225,0.3466,22.5841,65.1542
3,8,16,0.0020,1,946729,199.8551,3763.3738,18.8305
3,8,16,0.0050,1,154449,26.0140,1551.4231,59.6379
3,8,16,0.0125,1,25921,6.2802,650.0776,103.5121
3,8,16,0.0500,1,2025,1.6277,186.1308,114.3544
3,8,16,0.2000,1,225,0.6570,93.8645,142.8684
3,16,1,0.0020,1,946729,41.6422,42.6245,1.0236
3,16,1,0.0050,1,154449,3.9828,17.9704,4.5120
3,16,1,0.0125,1,25921,1.1834,6.8342,5.7750
3,16,1,0.0500,1,2025,0.1665,2.7719,16.6521
3,16,1,0.2000,1,225,0.0834,2.1136,25.3381
3,16,2,0.0020,1,946729,34.8662,170.6492,4.8944
3,16,2,0.0050,1,154449,6.2960,67.6132,10.7390
3,16,2,0.0125,1,25921,1.9730,28.7682,14.5813
3,16,2,0.0500,1,2025,0.2638,8.4106,31.8885
3,16,2,0.2000,1,225,0.1303,4.6965,36.0576
3,16,4,0.0020,1,946729,51.7152,660.7549,12.7768
3,16,4,0.0050,1,154449,9.7395,280.8826,28.8394
3,16,4,0.0125,1,25921,3.2226,118.1394,36.6594
3,16,4,0.0500,1,2025,0.4639,36.6918,79.0985
3,16,4,0.2000,1,225,0.2120,18.5727,87.6243
3,16,8,0.0020,1,946729,83.4867,2702.4372,32.3697
3,16,8,0.0050,1,154449,16.6355,1180.4158,70.9575
3,16,8,0.0125,1,25921,4.6397,466.5421,100.5542
3,16,8,0.0500,1,2025,1.0575,147.6232,139.5964
3,16,8,0.2000,1,225,0.4031,87.6620,217.4788
3,16,16,0.0020,1,946729,235.1147,11211.4238,47.6849
