language,task,sigma,period,mode,is_rel,is_per,r,K,n_queries,method,rel_route,truncation,seconds,reps,guarded,value,rel_dev
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,6,,centres,forced-by-method,inf,0.004357610268393395,82,False,0.0,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,6,,bulger,forced-by-method,inf,0.002062347218340549,78,False,0.0,0.0
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,6,,mobius,forced-by-method,inf,0.004043530097179528,72,False,-4.223318817142827e-20,4.223318817142827e-20
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,9,,centres,forced-by-method,inf,0.039312076492933556,6,False,0.0,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,9,,bulger,forced-by-method,inf,0.028761474997736514,10,False,0.0,0.0
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,9,,mobius,forced-by-method,inf,0.0040930601939584855,36,False,2.821973355161225e-20,2.821973355161225e-20
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,14,,centres,forced-by-method,inf,0.38462983298813924,1,False,0.0002711038898343951,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,14,,bulger,forced-by-method,inf,0.2723350829910487,1,False,0.00027110388983439505,5.421010862427522e-20
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,14,,mobius,forced-by-method,inf,0.004136855999925448,68,False,0.0002711038898341457,2.494207097802903e-16
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,21,,bulger,forced-by-method,inf,1.9096727919531986,1,False,2.499874848421523e-07,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,21,,mobius,forced-by-method,inf,0.004320594058039465,35,False,2.499874848412542e-07,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,32,,mobius,forced-by-method,inf,0.005178187500107391,58,False,0.0033369737228184284,nan
python,ip,10.0,1200.0,absolute non-periodic,False,False,4,48,,mobius,forced-by-method,inf,0.005480802445499985,27,False,0.006116228824466967,nan
python,ip,10.0,1200.0,absolute periodic,False,True,2,6,,centres,forced-by-method,inf,0.00011608455585797955,2488,False,1.0742916540189647e-07,nan
python,ip,10.0,1200.0,absolute periodic,False,True,2,6,,bulger,forced-by-method,inf,9.93301297101525e-05,2328,False,1.0742916540189647e-07,0.0
python,ip,10.0,1200.0,absolute periodic,False,True,2,6,,mobius,forced-by-method,inf,0.00046733154297604637,628,False,1.0742916540188541e-07,1.105113298370845e-20
python,ip,10.0,1200.0,absolute periodic,False,True,2,9,,centres,forced-by-method,inf,0.0005441869800766717,402,False,0.004469081613991181,nan
python,ip,10.0,1200.0,absolute periodic,False,True,2,9,,bulger,forced-by-method,inf,0.00018100037147514948,1572,False,0.004469081613991182,8.673617379884035e-19
python,ip,10.0,1200.0,absolute periodic,False,True,2,9,,mobius,forced-by-method,inf,0.0004780774389002831,622,False,0.004469081613991181,0.0
