CSV_BEGIN
r,K,N,sigmaOverP,isPer,gridSize,msSpectral,msGrid,ratio
4,30,8,0.0125,1,4173281,nan,nan,nan
4,30,8,0.0500,1,91125,10.6761,1503.2213,140.8027
4,30,8,0.2000,1,3375,1.0136,676.7753,667.6782
4,30,16,0.0020,1,921167317,nan,nan,nan
4,30,16,0.0050,1,60698457,nan,nan,nan
4,30,16,0.0125,1,4173281,nan,nan,nan
4,30,16,0.0500,1,91125,19.8797,5773.2827,290.4115
4,30,16,0.2000,1,3375,2.1214,2381.2158,1122.4653
2,4,1,0.0020,0,1983,0.6851,0.6635,0.9686
2,4,1,0.0050,0,821,0.3518,0.2482,0.7056
2,4,1,0.0125,0,357,0.0878,0.4222,4.8092
2,4,1,0.0500,0,125,0.0625,0.1622,2.5929
2,4,1,0.2000,0,67,0.0565,0.1589,2.8099
2,4,2,0.0020,0,1983,1.4330,3.3462,2.3351
2,4,2,0.0050,0,821,0.4664,1.0920,2.3413
2,4,2,0.0125,0,357,0.1468,0.6762,4.6069
2,4,2,0.0500,0,125,0.0990,0.2433,2.4590
2,4,2,0.2000,0,67,0.0858,0.4210,4.9073
2,4,4,0.0020,0,1983,2.4733,13.0222,5.2652
2,4,4,0.0050,0,821,0.5403,6.6464,12.3025
2,4,4,0.0125,0,357,0.2830,3.7039,13.0898
2,4,4,0.0500,0,125,0.1614,1.1659,7.2249
2,4,4,0.2000,0,67,0.1343,0.6072,4.5233
2,4,8,0.0020,0,1983,4.9841,56.2882,11.2935
2,4,8,0.0050,0,821,1.8420,24.5255,13.3146
2,4,8,0.0125,0,357,0.5916,9.4965,16.0527
2,4,8,0.0500,0,125,0.3057,3.6934,12.0797
2,4,8,0.2000,0,67,0.2374,3.0924,13.0276
2,4,16,0.0020,0,1983,8.5938,202.2595,23.5355
2,4,16,0.0050,0,821,2.9890,84.7991,28.3708
2,4,16,0.0125,0,357,1.1638,37.3313,32.0762
2,4,16,0.0500,0,125,0.6009,14.0997,23.4653
2,4,16,0.2000,0,67,0.4760,8.3073,17.4523
2,8,1,0.0020,0,1983,1.0645,2.6934,2.5302
2,8,1,0.0050,0,821,0.7283,1.1700,1.6066
2,8,1,0.0125,0,357,0.3765,0.5114,1.3585
2,8,1,0.0500,0,125,0.1058,0.2263,2.1403
2,8,1,0.2000,0,67,0.0790,0.3968,5.0253
2,8,2,0.0020,0,1983,1.8894,10.3123,5.4580
2,8,2,0.0050,0,821,0.8345,4.0432,4.8450
2,8,2,0.0125,0,357,0.4881,1.7949,3.6771
2,8,2,0.0500,0,125,0.1651,0.9273,5.6159
2,8,2,0.2000,0,67,0.1250,0.5186,4.1487
2,8,4,0.0020,0,1983,3.5241,49.8742,14.1524
