# calibrate_rel_ip_cost
# python 3.12.2, numpy 2.4.4
# truncation_sigmas 6.0, period 1200.0
# budget 5.0, repeat_below 0.25, seeds [1]
# times in milliseconds. inf means the arm exceeded the budget: its time is
# unknown but at least the budget, which still settles the comparison. nan
# means the arm is inadmissible in that mode, or raised.
# declined_* says why an arm was not measured: memory (working set does not
# fit, by exact arithmetic), rate (over budget, predicted from cells already
# timed), prior (over budget, from the built-in rate before any measurement
# existed), budget (it ran, and exceeded).
r,K_x,K_y,N,shape,weights,isPer,sigma,seed,nu,M_x,M_y,t_bulger,t_centres,t_grid,pred_bulger,pred_mobius,max_abs_diff,gate_route,faster,declined_bulger,declined_centres,declined_grid
2,6,6,16,equal,bimodal,1,3,1,3332,30,30,2.6681,7.5654,7.9872,12.6720,32.6480,3.109e-15,centres,bulger,,,
2,6,6,16,equal,bimodal,0,25,1,330,30,30,10.1418,6.1073,2.5446,11.5200,32.6480,4.441e-16,centres,mobius,,,
2,6,6,16,equal,bimodal,1,25,1,400,30,30,3.6929,7.7756,1.4537,12.6720,32.6480,3.331e-16,centres,mobius,,,
2,6,6,64,equal,bimodal,0,3,1,2432,30,30,32.3453,87.5063,52.4052,184.3200,447.3680,1.432e-14,centres,bulger,,,
2,6,6,64,equal,bimodal,1,3,1,3332,30,30,45.2818,103.4386,26.7235,202.7520,447.3680,3.331e-16,centres,mobius,,,
2,6,6,64,equal,bimodal,0,25,1,334,30,30,171.8637,84.0642,9.3924,184.3200,447.3680,2.220e-16,centres,mobius,,,
2,6,6,64,equal,bimodal,1,25,1,400,30,30,69.4725,96.7314,6.2276,202.7520,447.3680,2.220e-16,centres,mobius,,,
2,5,6,1,asym,flat,0,3,1,2038,20,30,0.3448,0.2060,1.0552,0.0317,5.0760,1.759e-12,centres,mobius,,,
2,5,6,1,asym,flat,1,3,1,3332,20,30,0.1092,0.1739,0.6758,0.0348,5.0760,2.774e-12,centres,bulger,,,
2,5,6,1,asym,flat,0,25,1,243,20,30,0.3038,0.1890,0.2988,0.0317,5.0760,6.710e-13,centres,mobius,,,
2,5,6,1,asym,flat,1,25,1,400,20,30,0.0930,0.1855,0.2458,0.0348,5.0760,1.120e-12,centres,bulger,,,
2,5,6,4,asym,flat,0,3,1,2335,20,30,0.4130,0.4877,4.3115,0.5067,6.2160,8.071e-14,centres,bulger,,,
2,5,6,4,asym,flat,1,3,1,3332,20,30,0.2930,0.8541,2.6504,0.5573,6.2160,2.107e-13,centres,bulger,,,
2,5,6,4,asym,flat,0,25,1,305,20,30,0.9825,0.5855,0.6869,0.5067,6.2160,3.109e-14,centres,mobius,,,
