0,0,2,6,1,15,3600,30,0.0701,0.0937
0,0,2,6,200,15,3600,30,0.1398,0.1299
0,0,2,12,1,15,3600,132,0.0815,0.1068
0,0,2,12,200,15,3600,132,0.1367,0.1604
0,0,2,24,1,15,3600,552,0.0775,0.0847
0,0,2,24,200,15,3600,552,0.1313,0.1247
0,0,2,48,1,15,3600,2256,0.1067,0.0917
0,0,2,48,200,15,3600,2256,0.2190,0.1465
0,0,3,6,1,15,3600,120,0.0689,0.1747
0,0,3,6,200,15,3600,120,0.1828,0.3074
0,0,3,12,1,15,3600,1320,0.1145,0.1685
0,0,3,12,200,15,3600,1320,0.2282,0.3010
0,0,3,24,1,15,3600,12144,0.3334,0.1904
0,0,3,24,200,15,3600,12144,0.5066,0.2960
0,0,3,48,1,15,3600,103776,3.5100,0.1987
0,0,3,48,200,15,3600,103776,-1.0000,0.3265
0,0,4,6,1,15,3600,360,0.0755,0.3843
0,0,4,6,200,15,3600,360,0.3745,0.5272
0,0,4,12,1,15,3600,11880,0.4292,0.3583
0,0,4,12,200,15,3600,11880,0.8666,0.5879
0,0,4,24,1,15,3600,255024,10.7759,0.3414
0,0,4,24,200,15,3600,255024,-1.0000,0.5665
0,0,4,48,1,15,3600,4669920,-1.0000,0.4128
0,0,4,48,200,15,3600,4669920,-1.0000,0.7115
1,0,2,6,1,15,3600,30,0.0815,0.2794
1,0,2,6,200,15,3600,30,0.1217,1.1498
1,0,2,12,1,15,3600,132,0.1083,0.3664
1,0,2,12,200,15,3600,132,0.1251,2.0885
1,0,2,24,1,15,3600,552,0.0876,0.2640
1,0,2,24,200,15,3600,552,0.2345,3.1117
1,0,2,48,1,15,3600,2256,0.1368,0.4015
1,0,2,48,200,15,3600,2256,0.5849,4.7352
1,0,3,6,1,15,3600,120,0.1229,0.5430
1,0,3,6,200,15,3600,120,0.1435,75.2743
1,0,3,12,1,15,3600,1320,0.1064,0.6594
1,0,3,12,200,15,3600,1320,0.1794,58.5433
1,0,3,24,1,15,3600,12144,0.3762,0.8014
1,0,3,24,200,15,3600,12144,0.6686,59.2201
1,0,3,48,1,15,3600,103776,3.3588,0.8331
1,0,3,48,200,15,3600,103776,-1.0000,51.2634
1,0,4,6,1,15,3600,360,0.0925,1.2791
1,0,4,6,200,15,3600,360,0.2152,191.0360
1,0,4,12,1,15,3600,11880,0.4146,1.2733
1,0,4,12,200,15,3600,11880,0.5846,246.3972
1,0,4,24,1,15,3600,255024,10.4685,1.4716
1,0,4,24,200,15,3600,255024,-1.0000,326.1537
1,0,4,48,1,15,3600,4669920,-1.0000,1.8423
1,0,4,48,200,15,3600,4669920,-1.0000,167.2099
0,1,2,6,1,15,1200,30,0.0317,0.1340
0,1,2,6,200,15,1200,30,0.1123,0.1874
0,1,2,12,1,15,1200,132,0.0324,0.1405
0,1,2,12,200,15,1200,132,0.1221,0.1781
0,1,2,24,1,15,1200,552,0.0369,0.1342
