# calibrateRelIpCost
# generated 2026-08-01 15:51:46
# matlab 26.1.0.3251617 (R2026a) Update 2 on MACA64
# truncationSigmas 6, period 1200
# budgetSec 5, seeds 1
# times in milliseconds. Inf means the arm exceeded the budget: its time is
# unknown but at least the budget, which still settles the comparison. NaN
# means the arm is inadmissible in that mode, or errored. A declined_ column
# reads - when the arm was measured normally.
r,K_x,K_y,N,shape,weights,isPer,sigma,seed,nu,M_x,M_y,t_bulger,t_centres,t_grid,pred_bulger,pred_mobius,max_abs_diff,gate_route,faster,declined_bulger,declined_centres,declined_grid
2,6,6,16,equal,bimodal,0,3,1,2395,30,30,2.4095,1.7836,9.0163,11.5200,32.6480,3.642e-14,grid,mobius,-,-,-
2,6,6,16,equal,bimodal,1,3,1,3332,30,30,2.9585,2.1418,6.5170,12.6720,32.6480,3.220e-15,grid,mobius,-,-,-
2,6,6,16,equal,bimodal,0,25,1,333,30,30,2.9467,2.0987,3.3354,11.5200,32.6480,1.443e-15,grid,mobius,-,-,-
2,6,6,16,equal,bimodal,1,25,1,400,30,30,3.5101,2.0662,2.1628,12.6720,32.6480,3.331e-16,grid,mobius,-,-,-
2,6,6,64,equal,bimodal,0,3,1,2440,30,30,20.0448,15.6376,33.8173,184.3200,447.3680,3.630e-14,grid,mobius,-,-,-
2,6,6,64,equal,bimodal,1,3,1,3332,30,30,25.2180,16.9605,25.2538,202.7520,447.3680,2.220e-16,grid,mobius,-,-,-
2,6,6,64,equal,bimodal,0,25,1,335,30,30,25.6035,17.5282,13.2679,184.3200,447.3680,4.441e-16,grid,mobius,-,-,-
2,6,6,64,equal,bimodal,1,25,1,400,30,30,34.8249,18.5866,7.6701,202.7520,447.3680,5.551e-16,grid,mobius,-,-,-
2,5,6,1,asym,flat,0,3,1,1610,20,30,0.2178,0.2411,0.9748,0.0317,5.0760,1.028e-12,centres,bulger,-,-,-
2,5,6,1,asym,flat,1,3,1,3332,20,30,0.2893,0.2597,0.7835,0.0348,5.0760,8.737e-13,centres,mobius,-,-,-
